participant,target_load,modality,RT_mean(ms),Accuracy_mean,Initial_RT(ms)
10,Single,Lab,1344.3538785714477,1.0,1344.3538785714477
11,Single,Lab,1431.5763866666505,1.0,1431.5763866666505
12,Single,Lab,1507.9863200000013,1.0,1507.9863200000013
13,Single,Lab,1391.2566666665953,1.0,1391.2566666665953
14,Single,Lab,1640.1328133333323,1.0,1640.1328133333323
15,Single,Lab,1338.137439999999,1.0,1338.137439999999
16,Single,Lab,1766.1829400000138,1.0,1766.1829400000138
17,Single,Lab,1160.4643666668078,1.0,1160.4643666668078
18,Single,Lab,1542.302046666373,1.0,1542.302046666373
19,Single,Lab,1649.9751800006682,1.0,1649.9751800006682
1,Single,Lab,2331.349806667034,1.0,2331.349806667034
20,Single,Lab,1492.9917733335362,1.0,1492.9917733335362
21,Single,Lab,1547.1590666663058,1.0,1547.1590666663058
2,Single,Lab,1575.1605142857964,1.0,1575.1605142857964
3,Single,Lab,1762.399106666756,1.0,1762.399106666756
4,Single,Lab,1452.9313866655382,1.0,1452.9313866655382
5,Single,Lab,1540.2571933329455,1.0,1540.2571933329455
6,Single,Lab,1602.0891066684271,1.0,1602.0891066684271
7,Single,Lab,1510.770193333322,1.0,1510.770193333322
8,Single,Lab,1547.0682333333418,1.0,1547.0682333333418
9,Single,Lab,1363.1837733333366,1.0,1363.1837733333366
22,Multiple,Lab,1176.346958666663,1.0,1330.599113333339
23,Multiple,Lab,1221.3411823333406,1.0,1498.6478333333405
24,Multiple,Lab,1429.746317333326,1.0,1997.2415266666453
25,Multiple,Lab,1279.4298200000153,1.0,1338.801493333449
26,Multiple,Lab,1332.3168173333397,1.0,1780.876733333207
27,Multiple,Lab,1312.772286333332,1.0,1373.8547133333325
28,Multiple,Lab,1224.3603866666679,1.0,1609.014653333331
29,Multiple,Lab,1160.0773256666712,1.0,1268.6897666666787
30,Multiple,Lab,1474.3948866666492,1.0,2103.0041999999717
31,Multiple,Lab,1175.4648186666661,1.0,1497.8926600000098
32,Multiple,Lab,1355.3527786666682,1.0,1556.2989399999994
33,Multiple,Lab,1294.5689792857142,1.0,1430.43959333332
34,Multiple,Lab,1278.5308960000004,1.0,1463.7053466666355
35,Multiple,Lab,1329.8163066666712,1.0,1760.4853533333273
36,Multiple,Lab,1418.6187522222242,1.0,1542.5416466666813
37,Multiple,Lab,2087.3767087618976,1.0,2128.5374466666476
