PlayerID,Median_Response_Time(ms),Mean_Response_Time(ms),StdDev_Response_Time(ms)
1,2749.0,3107.3333333333335,1259.9194796645122
2,2533.0,3977.733333333333,3111.4637911776385
3,1920.0,2439.5333333333333,1320.8880598546823
4,2417.0,3026.733333333333,2078.9654524260263
5,3113.0,4682.6,3988.395950396958
6,2504.0,3091.235294117647,2258.169599737024
7,2085.0,3064.4666666666667,2415.3199985174
8,2120.0,2922.6666666666665,1970.776738339722
9,2451.0,2686.2,1562.2514979532402
10,2069.0,2967.6,2512.0056244250045
11,1685.0,2604.3333333333335,1992.4806386105975
12,1608.0,2649.3333333333335,2283.609694780445
13,2114.0,2900.133333333333,2347.6646105884724
14,1900.0,3793.866666666667,3430.333217189313
15,1702.0,2257.9333333333334,1207.5921418063224
16,1735.0,2696.9333333333334,1837.8821455556886
17,1571.0,2426.733333333333,2370.889238440375
18,1982.0,2791.2,1725.5837190436666
19,2179.0,2887.4666666666667,1904.7431347884701
20,2584.0,3487.9333333333334,2245.8335222192695
21,2578.0,3968.2,3847.8974629938207
